visit_places,rating,turist_attration,visit_place_summary,best_time
20. Rajkot,"4.0
 /5","20 out of 42  Places to visit in Gujarat
				
		      
		         
		        23  Tourist attractions","Located in the western region of the country, Rajkot is the fourth-largest city in the Indian state of Gujarat. A commercial city with not many sightseeing options, Rajkot should be visited for its sweets, traditional snacks, Navratri celebrations, handicrafts (silverwork, patola weaving, bandh...",Best Time:  October to March
21. Himatnagar,"1.1
 /5",21 out of 42  Places to visit in Gujarat,"Himmatnagar is located in the Sabarkantha district of Gujarat, India. The municipality is the administrative headquarters of the region which is located on the banks of the river Hathmathi. The city was established in the 15th century and is a place with a rich history. There are several historic fo...",Best Time:  October to January
22. Bhavnagar,"4.3
 /5","22 out of 42  Places to visit in Gujarat
				
		      
		         
		        10  Tourist attractions","Located at the southern tip of Gujarat peninsula, Bhavnagar is known as the cultural centre of the state of Gujarat. Literary achievers like Govardhan Tripathi, Kavi Kant, Narsihm Mehta and Ganga Sati have their roots in Bhavnagar. While on one side, you'd see the careless waves of Gulf of Khambat, ...",Best Time:  October to January
23. Palanpur,"5.0
 /5",23 out of 42  Places to visit in Gujarat,"Palanpur, is a city and municipality in Banaskantha district of Gujarat, India. It is the administrative headquarters of the district, known for its massive architectural shrines dedicated to Hinduism and Jainism and it’s enriching history. A visit to this place would bring you into terms with the v...",Best Time:  October to March
24. Umbergaon,"2.7
 /5",24 out of 42  Places to visit in Gujarat,"Located in the Valsad district in the state of Gujarat, Umbergaon or Umargam is a small census town inhabited by fisher folks essentially. Based on a slightly mountainous region, the town is very close to the Maharashtra border and is known for its several gorgeous beaches and ancient temples. Besid...",Best Time:  October-March
25. Anjar,"2.2
 /5",25 out of 42  Places to visit in Gujarat,"Anjar is a town and municipality in Kutch District, Gujarat. With over 1,400 years of history, it is known as the oldest town in Kutch. Anjar is famous for its cuisine, its known for the gher and dabeli. It has also been a centre for trade and commerce in Kutch for eons, being a target of invas...",Best Time:  November to February
26. Pirotan Island,"3.6
 /5",26 out of 42  Places to visit in Gujarat,"Pirotan Island spreads over an area of 3 square kilometres and is one of forty-two islands in the marine park area, nestled within the vicinity of the Marine National Park in the Jamnagar district of Gujarat on the western coast. As part of the first marine national park - the Gulf of Kutch Mar...",
27. Dandi Beach,"3.6
 /5",27 out of 42  Places to visit in Gujarat,"Well known for its historical significance, Dandi in Surat is a beautiful beach destination. The scenic beauty combined with its rich history make it a favourite among all tourists visiting this place. The serene and pristine beauty of Dandi is only second to its long and illustrious history. The sa...",
28. Zarwani Waterfalls,,28 out of 42  Places to visit in Gujarat,"At a distance of about 90 km from Vadodara in Gujarat, Zarwani Waterfalls are amongst the most sought natural destinations in India. Huddled deep inside the heart of Shoolpaneshwar Wildlife Sanctuary near the district of Narmada, the perennial and gorgeous Zarwani Waterfalls provide you with an oppo...",
29. Hathni Waterfalls,,29 out of 42  Places to visit in Gujarat,"Jambughoda is home to one of the most breathtaking and magnificent waterfalls you can visit in the Indian subcontinent. About a 100 metres in length and flowing with rich greenery, Hathni Waterfalls are surrounded by a variety of beautiful flora and fauna. If you find the peaceful sound of flowing w...",
30. Kabirvad,,30 out of 42  Places to visit in Gujarat,"Kabirvad is a small island in the Bharuch district of Gujarat rumoured to be Saint Kabir’s residence several hundred years ago. Located along the banks of the river Narmada, the island promises you a calm and serene abode underneath the humongous canopy of Banyan trees that Kabirvad is most prominen...",
31. Vadla,,31 out of 42  Places to visit in Gujarat,"Vadla is an up and coming haven for migratory birds making their way to the marshy wetlands of Gujarat, just a short drive away from Ahmedabad. Vadla still remains relatively unknown and undiscovered in comparison to the Nal Sarovar Bird Sanctuary and is a hidden gem only known to the locals.",
32. Modhera,,32 out of 42  Places to visit in Gujarat,"Modhera is an ancient village in the state of Gujarat, famed for housing the remains of the Sun Temple built by the Chalukya dynasty is a true historical treasure. The village is surrounded by a mystical aura that the Sun Temple brings along, it is also a hub for spirituality and culture. Modhera gi...",
33. Marine National Park,,33 out of 42  Places to visit in Gujarat,"Marine National Park in the Gulf of Kutch is the first marine conservatory built in India. Crediting to its diverse range of flora and fauna, it accounts for a magnanimous natural site for India's natural resource and beauty. The park is distributed in 42 scattered islands in an archipelago. The par...",
34. Wilson Hills,,34 out of 42  Places to visit in Gujarat,"The Wilson Hills in Dharampur district of Gujarat is one of those places which would make you say 'wow' when you witness the natural and panoramic beauty of the place. Clouds floating close to the ground, lush green forests, pleasant climate and intriguing view of the sea from the hilltop – Wilson H...",
35. Wankaner,,35 out of 42  Places to visit in Gujarat,"Situated at the bending point of River Macchu in Gujarat, Wankaner is a princely town known for its royal lineage and heritage monuments. The city gets its name from its location; ‘wanka’ meaning ‘bend’ and ‘ner’ meaning ‘river’. Also known as Jhalawar, the city was originally ruled by Jhala Rajputs...",
36. Nargol Beach,,36 out of 42  Places to visit in Gujarat,"Nargol Beach is a beautiful and serene beach situated in the state of Gujarat prolifically spread over an area of 16km. The beauty of this beach is enhanced tenfold by the lush green casuarinas trees. While the beach is not ideal for swimming, It is a perfect place for leisure walks or a picnic. The...",
37. Sardar Sarovar Dam,,37 out of 42  Places to visit in Gujarat,"Located near Navagam in Gujarat, Sardar Sarovar Dam is a massive gravity dam built on the River Narmada which was built to conserve water and help the environment and the people around. The foundation of the project was laid down by Pandit Jawaharlal Nehru in 1961 and the construction work for the s...",
38. Ratanmahal Sloth Bear Sanctuary,,38 out of 42  Places to visit in Gujarat,"Ratanmahal Sloth Bear Sanctuary is a hilly isle known to be the home of the Sloth Bears in Dahod District, Gujarat. The locals suggest that the Sloth Bear is far more dangerous than a leopard, but assist tourists in spotting this thrilling beast. The Kanjeta Eco campsite is the on-site full-service ...",
39. Zanzari Waterfalls,,39 out of 42  Places to visit in Gujarat,"The Vatrak River of Dehgam, Gujarat boasts of the Zanzari Waterfalls. The main waterfall is 25 feet high and lands on a picturesque set of rocks, boulders and craters.",
40. Taranga Hills,,40 out of 42  Places to visit in Gujarat,"Taranga refers to a three-peaked hill located in the Mehsana district of Gujarat, on the banks of the river Sabarmati. It is located at a distance of 130 km from Ahmedabad. Taranga Hills holds great importance for Jains as they consider it to be one of the five most Mahatirthas. The famed Ajitnath J...",
41. Sardar Patel Zoological Park,,41 out of 42  Places to visit in Gujarat,"Sardar Patel Zoological Park is a newly inaugurated zoo situated in Kevadia, a town in the Narmada district of Gujarat. Located in the vicinity of the majestic Statue of Unity, this tremendous establishment hosts about 170 different species of wildlife from all across the globe, is home to a wide ra...",
42. Thol Bird Sanctuary,,42 out of 42  Places to visit in Gujarat,Thol Bird Sanctuary is an ecologically rich bird reserve located on Thol lake in the Mehsana district of Gujarat. It is nestled amidst dense deciduous vegetation and is one of the most popular places for bird-viewing in the state. The sanctuary welcomes vast varieties of endemic as well as migratory...,
1. Gurgaon,"3.6
 /5","1 out of 16  Places to visit in Haryana
				
		      
		         
		        39  Tourist attractions","Once little more than a dull and comparatively unknown suburb of the national capital region, today, Gurgaon is not only one of the most urbanised cities of India, but it also boasts of a skyline that can easily rival those of Hong Kong and Singapore. Easily accessible from Delhi and Noida, Gurgaon ...",Best Time:  October to March
2. Kurukshetra,"3.2
 /5","2 out of 16  Places to visit in Haryana
				
		      
		         
		        21  Tourist attractions","A city in the state of Haryana, Kurukshetra, also known as Dharmakshetra is known as the ""Land of the Bhagavad Gita"". Situated 170 km north to Delhi, the place is famous for the battle between the Kauvaras and the Pandavas in the Hindu epic, Mahabharata. It is the place where Lord Krishna is said to...",Best Time:  July to March
3. Panchkula,"4.2
 /5","3 out of 16  Places to visit in Haryana
				
		      
		         
		        10  Tourist attractions","Present on the way to hills of Shimla, Panchkula is famous for the ruins of the Chandels and trekking on Morni Hills teemed with peacocks.",Best Time:  October to Apr
